HeuristicA,HeuristicB,Depth,W1,W2,W3,W4,Win1,Win2,Draw,WinningRatio1,WinningRatio2
1,1,5,10,20,30,35,0,100,0,0,100
1,2,5,10,20,30,35,0,100,0,0,100
1,3,5,10,20,30,35,0,100,0,0,100
1,4,5,10,20,30,35,0,100,0,0,100
2,1,5,10,20,30,35,0,100,0,0,100
2,2,5,10,20,30,35,100,0,0,100,0
2,3,5,10,20,30,35,0,100,0,0,100
2,4,5,10,20,30,35,0,100,0,0,100
3,1,5,10,20,30,35,100,0,0,100,0
3,2,5,10,20,30,35,0,100,0,0,100
3,3,5,10,20,30,35,100,0,0,100,0
3,4,5,10,20,30,35,100,0,0,100,0
4,1,5,10,20,30,35,100,0,0,100,0
4,2,5,10,20,30,35,0,100,0,0,100
4,3,5,10,20,30,35,0,100,0,0,100
4,4,5,10,20,30,35,0,100,0,0,100
1,1,5,20,10,20,30,0,100,0,0,100
1,2,5,20,10,20,30,0,100,0,0,100
1,3,5,20,10,20,30,0,100,0,0,100
1,4,5,20,10,20,30,0,100,0,0,100
2,1,5,20,10,20,30,100,0,0,100,0
2,2,5,20,10,20,30,100,0,0,100,0
2,3,5,20,10,20,30,100,0,0,100,0
2,4,5,20,10,20,30,100,0,0,100,0
3,1,5,20,10,20,30,100,0,0,100,0
3,2,5,20,10,20,30,0,100,0,0,100
3,3,5,20,10,20,30,0,100,0,0,100
3,4,5,20,10,20,30,0,100,0,0,100
4,1,5,20,10,20,30,100,0,0,100,0
4,2,5,20,10,20,30,0,100,0,0,100
4,3,5,20,10,20,30,0,100,0,0,100
4,4,5,20,10,20,30,0,100,0,0,100
1,1,5,30,20,10,25,0,100,0,0,100
1,2,5,30,20,10,25,0,100,0,0,100
1,3,5,30,20,10,25,0,100,0,0,100
1,4,5,30,20,10,25,0,100,0,0,100
2,1,5,30,20,10,25,100,0,0,100,0
2,2,5,30,20,10,25,0,100,0,0,100
2,3,5,30,20,10,25,0,100,0,0,100
2,4,5,30,20,10,25,0,100,0,0,100
3,1,5,30,20,10,25,100,0,0,100,0
3,2,5,30,20,10,25,0,100,0,0,100
3,3,5,30,20,10,25,0,100,0,0,100
3,4,5,30,20,10,25,0,100,0,0,100
4,1,5,30,20,10,25,100,0,0,100,0
4,2,5,30,20,10,25,0,100,0,0,100
4,3,5,30,20,10,25,0,100,0,0,100
4,4,5,30,20,10,25,0,100,0,0,100
1,1,5,10,10,10,20,0,100,0,0,100
1,2,5,10,10,10,20,0,100,0,0,100
1,3,5,10,10,10,20,0,100,0,0,100
1,4,5,10,10,10,20,0,100,0,0,100
2,1,5,10,10,10,20,100,0,0,100,0
2,2,5,10,10,10,20,100,0,0,100,0
2,3,5,10,10,10,20,0,100,0,0,100
2,4,5,10,10,10,20,0,100,0,0,100
3,1,5,10,10,10,20,100,0,0,100,0
3,2,5,10,10,10,20,0,100,0,0,100
